mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
17	17	60	64	2.0		0	0	4/4	2	2	1/2	1/2	1		1	55	G3	3	127
17	17	60	64	2.0		0	0	4/4	1	2	1/2	1/2	1		2	62	D4	4	123
17	17	60	64	2.0		0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4	121
17	17	62	66	2.0		1/2	1/2	4/4	2	2	1/2	1/2	1		4	52	E3	3	128
17	17	62	66	2.0		1/2	1/2	4/4	2	1	1/2	1/2	1		1	55	G3	3	126
17	17	62	66	2.0		1/2	1/2	4/4	1	2	1/2	1/2	1		4	64	E4	4	124
17	17	62	66	2.0		1/2	1/2	4/4	1	1	1/2	1/2	1		5	71	B4	4	122
18	18	64	68	2.0		0	0	4/4	2	2	1/2	1/2	1		3	45	A2	2	135
18	18	64	68	2.0		0	0	4/4	2	1	1/2	1/2	1		3	57	A3	3	133
18	18	64	68	2.0		0	0	4/4	1	2	1/2	1/2	1		0	60	C4	4	131
18	18	64	68	2.0		0	0	4/4	1	1	1/2	1/2	1		0	72	C5	5	129
18	18	66	70	2.0		1/2	1/2	4/4	2	2	1/2	1/2	1		5	47	B2	2	136
18	18	66	70	2.0		1/2	1/2	4/4	2	1	1/2	1/2	1	1	1	55	G3	3	134
18	18	66	70	2.0		1/2	1/2	4/4	1	2	1/2	1/2	1		2	62	D4	4	132
18	18	66	70	2.0		1/2	1/2	4/4	1	1	1/2	1/2	1		5	71	B4	4	130
19	19	68	72	2.0		0	0	4/4	2	2	1/2	1/2	1		0	48	C3	3	143
19	19	68	72	2.0		0	0	4/4	2	1	1/2	1/2	1	-1	1	55	G3	3	141
19	19	68	72	2.0		0	0	4/4	1	2	1/2	1/2	1		4	64	E4	4	138
19	19	68	72	4.0		0	0	4/4	1	1	1	1	1		3	69	A4	4	137
19	19	70	74	2.0		1/2	1/2	4/4	2	2	1/2	1/2	1		2	50	D3	3	144
19	19	70	74	2.0		1/2	1/2	4/4	2	1	1/2	1/2	1		6	54	F#3	3	142
19	19	70	74	1.0		1/2	1/2	4/4	1	2	1/4	1/4	1		2	62	D4	4	139
19	19	71	75	1.0		3/4	3/4	4/4	1	2	1/4	1/4	1		0	60	C4	4	140
20	20	72	76	4.0		0	0	4/4	2	2	1	1	1		1	43	G2	2	148
20	20	72	76	4.0		0	0	4/4	2	1	1	1	1		1	55	G3	3	147
20	20	72	76	4.0		0	0	4/4	1	2	1	1	1		5	59	B3	3	146
20	20	72	76	4.0		0	0	4/4	1	1	1	1	1		1	67	G4	4	145
21	21	76	80	2.0		0	0	4/4	2	1	1/2	1/2	1		1	55	G3	3	153
21	21	76	80	2.0		0	0	4/4	2	2	1/2	1/2	1		1	55	G3	3	155
21	21	76	80	2.0		0	0	4/4	1	2	1/2	1/2	1		2	62	D4	4	151
21	21	76	80	2.0		0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4	149
21	21	78	82	2.0		1/2	1/2	4/4	2	2	1/2	1/2	1		4	52	E3	3	156
21	21	78	82	2.0		1/2	1/2	4/4	2	1	1/2	1/2	1		1	55	G3	3	154
21	21	78	82	2.0		1/2	1/2	4/4	1	2	1/2	1/2	1	1	4	64	E4	4	152
21	21	78	82	2.0		1/2	1/2	4/4	1	1	1/2	1/2	1		5	71	B4	4	150
22	22	80	84	2.0		0	0	4/4	2	2	1/2	1/2	1		6	54	F#3	3	163
22	22	80	84	2.0		0	0	4/4	2	1	1/2	1/2	1		3	57	A3	3	161
22	22	80	84	2.0		0	0	4/4	1	2	1/2	1/2	1	-1	4	64	E4	4	159
22	22	80	84	2.0		0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4	157
22	22	82	86	2.0		1/2	1/2	4/4	2	2	1/2	1/2	1		5	47	B2	2	164
22	22	82	86	2.0		1/2	1/2	4/4	2	1	1/2	1/2	1		5	59	B3	3	162
