piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus
A-MCAU_AP1832-062_SID030	1: 4/4	1: 0	19	19	72.0	19	19	72.0		288.0	147	44	0	0	0										2021-01-25	3.02	Microsoft Windows			Gelobet seyst du Jesu Christ	AP1832-062 rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-062_SID030.mscz	False	43-76 (G2-E5)	Piano	59-76 (B3-E5)	Piano	43-62 (G2-D4)
A-MCAU_AP1832-065_SID050	1: 4/4	1: 0	23	23	88.0	23	23	88.0		352.0	173	52	0	0	0										2021-01-25	3.02	Microsoft Windows			Getrost und freudig geh ich hin	AP1832-065 rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-065_SID050.mscz	False	43-74 (G2-D5)	Piano	59-74 (B3-D5)	Piano	43-62 (G2-D4)
A-MCAU_AP1832-067_SID031	1: 4/4	1: 2	32	32	128.0	56	56	224.0		512.0	256	74	0	0	0										2021-01-25	3.02	Microsoft Windows			Gott der Vater wohn' uns bei	AP1832-067 rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-067_SID031.mscz	False	43-76 (G2-E5)	Piano	57-76 (A3-E5)	Piano	43-64 (G2-E4)
A-MCAU_AP1832-068a_SID032	1: 4/4	1: 1	17	17	68.0	26	26	104.0		272.0	128	42	0	0	0										2021-01-25	3.02	Microsoft Windows			Gott des Himmels und der Erde	AP1832-068a rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-068a_SID032.mscz	False	43-74 (G2-D5)	Piano	59-74 (B3-D5)	Piano	43-62 (G2-D4)
A-MCAU_AP1832-069_SID040	1: 4/4	1: 0	19	19	74.0	19	19	74.0		296.0	148	41	0	0	0										2021-01-25	3.02	Microsoft Windows			Gott hab ich alles heimgestellt	AP1832-069 rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-069_SID040.mscz	False	43-74 (G2-D5)	Piano	60-74 (C4-D5)	Piano	43-64 (G2-E4)
A-MCAU_AP1832-074_SID085	1: 4/4	1: -2	22	22	80.0	31	31	112.0		320.0	159	50	0	0	0										2021-01-25	3.02	Microsoft Windows			Halt im Gedächtnis Jesum Christ	AP1832-074 rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-074_SID085.mscz	False	43-74 (G2-D5)	Piano	58-74 (Bb3-D5)	Piano	43-63 (G2-Eb4)
A-MCAU_AP1832-075_SID034	1: 4/4	1: 0	231	231	914.0	231	231	914.0		3656.0	1773	521	0	0	0										2021-01-25	3.02	Microsoft Windows			Herr Gott dich loben wir	AP1832-075 rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-075_SID034.mscz	False	43-74 (G2-D5)	Piano	57-74 (A3-D5)	Piano	43-65 (G2-F4)
A-MCAU_AP1832-077_SID088	1: 4/4	1: 1	19	19	76.0	28	28	112.0		304.0	138	43	0	0	0										2020-12-22	3.02	Microsoft Windows			Herr ich habe missgehandelt	AP1832-077 rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-077_SID088.mscz	False	43-74 (G2-D5)	Piano	59-74 (B3-D5)	Piano	43-60 (G2-C4)
A-MCAU_AP1832-078_SID036	1: 4/4	1: 1	17	17	64.0	17	17	64.0		256.0	138	42	0	0	0										2021-01-25	3.02	Microsoft Windows			Herr Jesu Christ, dein theures Blut	AP1832-078 rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-078_SID036.mscz	False	43-72 (G2-C5)	Piano	57-72 (A3-C5)	Piano	43-64 (G2-E4)
A-MCAU_AP1832-079a_SID035	1: 4/4	1: -1	17	17	64.0	17	17	64.0		256.0	137	42	0	0	0										2021-01-25	3.02	Microsoft Windows			Herr Jesu Christ dich zu uns wend'	AP1832-079a rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-079a_SID035.mscz	False	45-74 (A2-D5)	Piano	57-74 (A3-D5)	Piano	45-62 (A2-D4)
